date,value
20230101,0.0
20230102,0.0
20230103,0.0
20230104,0.0
20230105,0.0
20230106,0.14583333333333334
20230107,0.0
20230108,0.0
20230109,0.0
20230110,0.0
20230111,0.0
20230112,1.2083333333333333
20230113,0.08333333333333333
20230114,0.16666666666666666
20230115,0.0
20230116,0.0
20230117,0.0
20230118,0.0
20230119,0.041666666666666664
20230120,0.0
20230121,0.0
20230122,0.0
20230123,0.0
20230124,0.0
20230125,0.0
20230126,0.0
20230127,0.0
20230128,0.0
20230129,0.0
20230130,0.0
20230131,0.0
20230201,0.0
20230202,0.0
20230203,0.0
20230204,0.0
20230205,0.0
20230206,0.0
20230207,0.0
20230208,0.0
20230209,0.0
20230210,0.0
20230211,0.0
20230212,0.0
20230213,0.0
20230214,0.0
20230215,0.0
20230216,0.0
20230217,0.0
20230218,0.0
20230219,0.0
20230220,0.0
20230221,0.0
20230222,0.0
20230223,0.0
20230224,0.0
20230225,0.0
20230226,0.0
20230227,0.0
20230228,0.0
20230301,0.0
20230302,0.0
20230303,0.0
20230304,0.0
20230305,0.0
20230306,0.0
20230307,0.0
20230308,0.14583333333333334
20230309,0.0
20230310,0.0
20230311,0.020833333333333332
20230312,0.16666666666666666
20230313,0.0
20230314,0.0
20230315,0.0
20230316,0.0
20230317,0.0
20230318,0.0
20230319,0.0
20230320,0.0
20230321,0.0
20230322,0.0
20230323,0.0
20230324,0.0
20230325,0.0
20230326,0.0
20230327,0.0
20230328,0.0
20230329,0.0
20230330,0.0
20230331,0.0
20230401,0.0
20230402,0.0
20230403,0.0
20230404,1.3333333333333333
20230405,0.8333333333333334
20230406,0.0625
20230407,0.0
20230408,0.0
20230409,0.0
20230410,0.0
20230411,0.041666666666666664
20230412,0.0
20230413,0.0
20230414,0.0
20230415,0.10416666666666667
20230416,0.0
20230417,0.041666666666666664
20230418,0.020833333333333332
20230419,0.0
20230420,0.0
20230421,0.0
20230422,0.0
20230423,0.0
20230424,0.0
20230425,0.020833333333333332
20230426,0.0
20230427,0.0
20230428,0.9166666666666666
20230429,0.20833333333333334
20230430,0.020833333333333332
20230501,0.0
20230502,0.0
20230503,0.0
20230504,0.125
20230505,2.1458333333333335
20230506,0.6458333333333334
20230507,0.0
20230508,0.0
20230509,0.0
20230510,0.0
20230511,0.0
20230512,0.0
20230513,0.0
20230514,0.0
20230515,0.0
20230516,0.0
20230517,0.0
20230518,0.041666666666666664
20230519,0.0
20230520,0.0
20230521,0.0
20230522,0.0
20230523,0.0
20230524,0.0
20230525,0.020833333333333332
20230526,0.0
20230527,2.0625
20230528,1.1666666666666667
20230529,0.0
20230530,0.0
20230531,0.0
20230601,0.0
20230602,0.0
20230603,0.0
20230604,0.0
20230605,0.0
20230606,0.0
20230607,0.0
20230608,0.041666666666666664
20230609,0.0
20230610,0.4791666666666667
20230611,0.0
20230612,0.0
20230613,0.0
20230614,0.020833333333333332
20230615,0.0
20230616,0.0
20230617,0.0
20230618,0.0
20230619,0.0
20230620,1.5208333333333333
20230621,0.020833333333333332
20230622,0.0
20230623,0.0
20230624,0.0
20230625,0.5416666666666666
20230626,0.8333333333333334
20230627,0.0
20230628,0.16666666666666666
20230629,2.3333333333333335
20230630,0.0
20230701,0.0
20230702,0.0
20230703,0.0
20230704,3.0
20230705,0.0
20230706,0.0
20230707,0.0
20230708,0.0
20230709,2.7916666666666665
20230710,0.5
20230711,3.4791666666666665
20230712,0.0
20230713,6.666666666666667
20230714,0.5208333333333334
20230715,0.0625
20230716,0.3125
20230717,0.125
20230718,0.125
20230719,0.0
20230720,0.0
20230721,0.0
20230722,1.0833333333333333
20230723,0.4791666666666667
20230724,0.0
20230725,0.0
20230726,0.3958333333333333
20230727,0.0
20230728,0.0
20230729,0.0
20230730,0.041666666666666664
20230731,1.0833333333333333
20230801,0.0
20230802,0.0
20230803,0.0
20230804,0.0
20230805,0.0
20230806,0.0
20230807,0.0
20230808,0.0
20230809,0.2916666666666667
20230810,3.9791666666666665
20230811,0.20833333333333334
20230812,0.0625
20230813,0.0
20230814,0.0
20230815,0.0
20230816,0.0
20230817,0.0
20230818,0.0
20230819,0.0
20230820,0.0
20230821,0.020833333333333332
20230822,2.9791666666666665
20230823,2.0833333333333335
20230824,0.0
20230825,0.0
20230826,0.0
20230827,0.6458333333333334
20230828,0.22916666666666666
20230829,1.2708333333333333
20230830,0.2708333333333333
20230831,0.0
20230901,0.0
20230902,0.0625
20230903,0.020833333333333332
20230904,0.0
20230905,0.0
20230906,0.0
20230907,0.0
20230908,0.0
20230909,0.0
20230910,0.0
20230911,0.0
20230912,0.0
20230913,0.875
20230914,0.10416666666666667
20230915,0.0625
20230916,1.8125
20230917,0.0
20230918,0.0
20230919,0.10416666666666667
20230920,1.3541666666666667
20230921,0.0
20230922,0.0
20230923,0.0
20230924,0.0
20230925,0.7083333333333334
20230926,0.5
20230927,0.020833333333333332
20230928,0.0
20230929,0.0
20230930,0.20833333333333334
20231001,0.0
20231002,0.0
20231003,0.0
20231004,0.4166666666666667
20231005,0.0
20231006,0.0
20231007,0.0
20231008,0.0
20231009,0.020833333333333332
20231010,0.0
20231011,0.0
20231012,0.0
20231013,0.10416666666666667
20231014,0.020833333333333332
20231015,0.0
20231016,0.0
20231017,0.0
20231018,0.3958333333333333
20231019,0.020833333333333332
20231020,0.021739130434782608
20231021,0.0
20231022,0.0
20231023,0.0
20231024,0.0
20231025,0.0
20231026,0.0
20231027,0.0
20231028,0.0
20231029,0.0
20231030,0.0
20231031,0.0
20231101,0.0
20231102,0.0
20231103,0.041666666666666664
20231104,0.4166666666666667
20231105,1.7708333333333333
20231106,0.375
20231107,0.0
20231108,0.0
20231109,0.1875
20231110,0.0
20231111,0.0
20231112,0.0
20231113,0.0
20231114,0.0
20231115,0.0
20231116,0.3125
20231117,0.0
20231118,0.0
20231119,0.0
20231120,0.0
20231121,0.0
20231122,0.0
20231123,0.0
20231124,0.0
20231125,0.0
20231126,0.08333333333333333
20231127,0.041666666666666664
20231128,0.0
20231129,0.0
20231130,0.0
20231201,0.0
20231202,0.0
20231203,0.0
20231204,0.0
20231205,0.0
20231206,0.041666666666666664
20231207,0.0
20231208,0.0
20231209,0.0
20231210,0.020833333333333332
20231211,0.4791666666666667
20231212,0.0
20231213,0.0
20231214,1.75
20231215,0.375
20231216,0.0
20231217,0.0
20231218,0.0
20231219,0.0
20231220,0.0
20231221,0.0
20231222,0.0
20231223,0.0
20231224,0.0
20231225,0.020833333333333332
20231226,0.0
20231227,0.0
20231228,0.0
20231229,0.0
20231230,0.6875
20231231,0.020833333333333332
